a        | 啊  | Particle                       → Oh                             (O)
fu       | 符  | Symbol                         → Qingfu                         (Q)
fu       | 傅  | Tutor                          → Xufulin                        (X)
fu       | 孚  | Trust                          → Xufuyuan                       (X)
fu       | 扶  | Help                           → Youfufeng                      (Y)
fu       | 腹  | Belly                          → Yu                             (Y)
fu       | 拂  | Brush                          → Zhongfu                        (Z)
fu       | 佛  | Buddha                         → Kafo                           (K)
ga       | 伽  | Gamma                          → Yoga                           (Y)
ga       | 噶  | Ga (syllable)                  → Qardan                         (Q)
gai      | 改  | Change                         → To                             (T)
gai      | 丐  | Beggar                         → Panggai                        (P)
gai      | 垓  | Battlefield                    → 垓下                             (垓)
gai      | 赅  | Include                        → Express                        (E)
gan      | 竿  | Rod                            → Vault                          (V)
gan      | 擀  | Roll                           → Kneading                       (K)
gan      | 淦  | Gan River                      → Zhougan                        (Z)
gan      | 苷  | Glycoside                      → Uridine                        (U)
gang     | 港  | Harbor                         → New                            (N)
gang     | 冈  | Hill                           → Gangqi                         (G)
gao      | 高  | Tall                           → Be                             (B)
gao      | 搞  | Do                             → Open                           (O)
gao      | 稿  | Draft                          → News                           (N)
gao      | 槁  | Withered                       → Sun-dried                      (S)
ge       | 个  | Classifier                     → Map                            (M)
ge       | 阁  | Cabinet                        → 佟麟阁                            (佟)
ge       | 割  | Cut                            → Han                            (H)
ge       | 咯  | Cough                          → Giggling                       (G)
ge       | 铬  | Chromium                       → Nichrome                       (N)
ge       | 哥  | Brother                        → Wu                             (W)
ge       | 舸  | Boat                           → Qinge                          (Q)
ge       | 格  | Style                          → Yán                            (Y)
ge       | 歌  | Song                           → Ge                             (G)
ge       | 戈  | Spear                          → Huge                           (H)
ge       | 仡  | Strong                         → Yi                             (Y)
ge       | 革  | Leather                        → New                            (N)
ge       | 盖  | Lid                            → One                            (O)
geng     | 赓  | Continue                       → Tonggengnian                   (T)
geng     | 羹  | Soup                           → To                             (T)
geng     | 梗  | Stem                           → To                             (T)
gong     | 公  | Male                           → Lu                             (L)
gong     | 功  | Merit                          → Qi                             (Q)
gong     | 攻  | Attack                         → Fast                           (F)
gong     | 拱  | Arch                           → lower                          (l)
gong     | 肱  | Arm                            → Humerus                        (H)
gong     | 宫  | Palace                         → Lu                             (L)
gong     | 恭  | Polite                         → Humble                         (H)
gong     | 供  | Offer                          → For                            (F)
gong     | 贡  | Offer                          → Huge                           (H)
gong     | 弓  | Bow                            → Horn                           (H)
gong     | 巩  | Strengthen                     → Fenggong                       (F)
gou      | 狗  | Dog                            → To                             (T)
gou      | 沟  | Ditch                          → To                             (T)
gou      | 垢  | Dirt                           → Ya                             (Y)
gou      | 枸  | Dogwood                        → Wolfberry                      (W)
gou      | 勾  | Hook                           → To                             (T)
gou      | 钩  | Hook                           → Link                           (L)
gou      | 购  | Buy                            → To                             (T)
gu       | 古  | Ancient                        → Use                            (U)
